test_battery,train_batteries,n_train,n_test,soh_RMSE,soh_MAE,soh_R2,eol_Accuracy,eol_Precision,eol_Recall,eol_F1,rul_RMSE,rul_MAE,rul_R2
B0005,"B0006,B0018",300,168,3.346323873234099,2.340907934961055,0.8757213213779472,0.9047619047619048,0.7333333333333333,1.0,0.8461538461538461,14.872190805257006,11.879982621545121,0.8699544315927561
B0006,"B0005,B0018",300,168,4.818468635313842,4.126542214779123,0.852925019355031,0.8333333333333334,0.6818181818181818,1.0,0.8108108108108109,13.377129440805144,8.827973590067344,0.8630589119986143
B0018,"B0005,B0006",336,132,5.163398758155377,4.5891127064156,0.5520626339457979,0.7272727272727273,0.0,0.0,0.0,27.221038107665375,23.930331984934256,0.27712091529996274
